['emigration', 'auswanderung', 'gefangenschaft', 'okkupation', 'übersiedlung', 'deportation']
['volk', 'vaterland', 'regime', 'wahlvolk', 'proletariat', 'fußvolk']
['auslassung', 'mystifizierung', 'usurpation', 'setzung', 'verengung', 'überfrachtung']
['widerstand', 'protest', 'feldzug', 'aufstand', 'ungehorsam', 'bürgerprotest']
['deutschland', 'europa', 'westeuropa', 'bundesrepublik', 'brd', 'frankreich']
['verlassen', 'betreten', 'zurückkehren', 'aufgeben', 'zurückzukehren', 'flüchten']
['opfer', 'mordopfer', 'opfern', 'verbrechen', 'überlebende', 'helfershelfer']
['papieren', 'dokumenten', 'pässen', 'protokollen', 'auskünften', 'personalakten']
['protestieren', 'demonstrieren', 'protestierten', 'protestiert', 'streiken', 'boykottieren']
['abscheulich', 'abstoßend', 'widerwärtig', 'widerlich', 'pervers', 'geschmacklos']
