['nach', 'in', 'zufolge', 'bei', 'danach', 'entgegen']
['paris', 'london', 'dakar', 'lissabon', 'lyon', 'wien']
['fahren', 'radeln', 'fliegen', 'weiterfahren', 'umsteigen', 'marschieren']
['reise', 'rundreise', 'expedition', 'fahrt', 'dienstreise', 'pilgerreise']
['in', 'aus', 'nach', 'bei', 'mit', 'neben']
['kommen', 'kämen', 'gehen', 'bringen', 'kamen', 'führen']
['london', 'paris', 'tokio', 'amsterdam', 'edinburgh', 'washington']
['berlin', 'bremen', 'hamburg', 'berlin/frankfurt', 'berlin/washington', 'frankfurt/main']
['florenz', 'mailand', 'neapel', 'nizza', 'sevilla', 'lissabon']
