['mitgeteilt', 'bekanntgegeben', 'zugesichert', 'klargestellt', 'klargemacht', 'vorgerechnet']
['advokaten', 'hauptbelastungszeugen', 'gehilfen', '59jährigen', 'geisteszustand', 'pensionierten']
['innerhalb', 'binnen', 'außerhalb', 'aufgrund', 'hinsichtlich', 'zugunsten']
['kämpfe', 'gefechte', 'zusammenstöße', 'straßenkämpfe', 'auseinandersetzungen', 'kampfhandlungen']
['wochen', 'monaten', 'tagen', 'monate', 'tage', 'jahren']
['auflösung', 'zerschlagung', 'liquidierung', 'entmachtung', 'ausrufung', 'selbstauflösung']
['auftrag', 'auftrage', 'würgegriff', 'abschlußbericht', 'regierungsauftrag', 'rahmen']
['austritt', 'parteiaustritt', 'rückzug', 'ausstieg', 'rücktritt', 'rausschmiß']
['bezahlung', 'entlohnung', 'erstattung', 'altersversorgung', 'mehrarbeit', 'zulagen']
