['zeitschrift', 'monatszeitschrift', 'literaturzeitschrift', 'wochenzeitung', 'fachzeitschrift', 'wochenzeitschrift']
['verlag', 'taschenbuch', 'edition', 'buchverlag', 'literaturverlag', 'vlg']
['artikel', 'artikels', 'aufsatz', 'leitartikel', 'leserbrief', 'zeitungsartikel']
['aufsatz', 'essay', 'sammelband', 'nachwort', 'reisebericht', 'roman']
['zeitung', 'tageszeitung', 'lokalzeitung', 'wochenzeitung', 'boulevardzeitung', 'zeitschrift']
['erscheinen', 'erscheint', 'wirken', 'klingen', 'ausfallen', 'aussehen']
['literarische', 'philosophische', 'literarischen', 'theatralische', 'musikalische', 'unterhaltsame']
['abonnenten', 'hörerinnen', 'exemplare', 'abonnentinnen', 'abos', 'exemplaren']
['anzeigen', 'zeitungsanzeigen', 'strafanzeigen', 'anzeige', 'annoncen', 'unterschriftenlisten']
